bench,day,repo,visibility,attribution,input,output,cache_creation,cache_read,total,turns,sessions_touching,gcs_mirrored_total,gcs_coverage
macbook,2026-08-03,nova,OSS,remote,51632,397636,2039948,44417167,46906383,384,3,46906383,full
macbook,2026-08-03,PRIVATE,PRIVATE,aggregate,102205,2772720,8518490,404956335,416349750,1799,,416349750,full
macbook,2026-08-04,nova,OSS,remote,4,1621,5000,199241,205866,2,1,205866,full
macbook,2026-08-04,PRIVATE,PRIVATE,aggregate,134590,2988887,11152674,635276092,649552243,2265,,649552243,full
macbook,2026-08-05,apt,OSS,remote,16,8156,15114,4623792,4647078,9,1,4647078,full
macbook,2026-08-05,fast3d,OSS,heuristic,2,2144,2299,319652,324097,1,1,324097,full
macbook,2026-08-05,gafferongames/vcpkg,OSS,remote,2,197,363,465931,466493,1,1,466493,full
macbook,2026-08-05,nova,OSS,remote,110,66526,194190,6804358,7065184,55,1,7065184,full
macbook,2026-08-05,schema,OSS,remote,78,80646,191163,17947246,18219133,41,1,18219133,full
macbook,2026-08-05,serialize,OSS,remote,10931,245082,1101009,32024641,33381663,241,1,33381663,full
macbook,2026-08-05,PRIVATE,PRIVATE,aggregate,25930,1331905,8388985,295598971,305345791,982,,305345791,full
macbook,2026-08-06,nova,OSS,remote,52,44101,181022,8881161,9106336,28,1,9106336,full
macbook,2026-08-06,schema,OSS,remote,47612,2211203,8378111,412324092,422961018,1956,4,422961018,full
macbook,2026-08-06,serialize,OSS,remote,13722,167654,596045,20672706,21450127,247,3,21450127,full
macbook,2026-08-06,yojimbo,OSS,remote,13,6720,9630,5236033,5252396,7,1,5252396,full
macbook,2026-08-06,PRIVATE,PRIVATE,aggregate,28724,1434105,4450087,385448592,391361508,1149,,391361508,full
macbook,2026-08-07,fixed,OSS,remote,10,3012,7312,1174883,1185217,5,1,1185217,full
macbook,2026-08-07,nova,OSS,remote,27,12816,38054,2024247,2075144,14,1,2075144,full
macbook,2026-08-07,schema,OSS,remote,21076,526045,1517500,82292141,84356762,496,2,84356762,full
macbook,2026-08-07,serialize,OSS,remote,3600,832942,3525969,100672376,105034887,633,3,105034887,full
macbook,2026-08-07,serialize.cs,OSS,remote,188,124776,280242,18919937,19325143,94,1,19325143,full
macbook,2026-08-07,serialize.go,OSS,remote,188,132161,276946,15235883,15645178,94,1,15645178,full
macbook,2026-08-07,serialize.rs,OSS,remote,100,63516,147649,10174200,10385465,50,1,10385465,full
macbook,2026-08-07,yojimbo,OSS,remote,28,8554,18985,1117022,1144589,14,2,1144589,full
macbook,2026-08-07,PRIVATE,PRIVATE,aggregate,23324,2081703,8065464,503749282,513919773,2450,,513919773,full
macbook,2026-08-08,awesome-persistent-ai,OSS,remote,141,21992,82080,5633407,5737620,19,4,5737620,full
macbook,2026-08-08,fixed,OSS,remote,25,6742,25526,378560,410853,13,1,410853,full
macbook,2026-08-08,gafferongames/vcpkg,OSS,remote,75,23640,44908,5793016,5861639,39,2,5861639,full
macbook,2026-08-08,netcode,OSS,remote,109,50270,419039,4945393,5414811,57,2,5414811,full
macbook,2026-08-08,netcode.cs,OSS,remote,102,204035,1396254,13705558,15305949,52,2,15305949,full
macbook,2026-08-08,netcode.rs,OSS,remote,20,2217,5692,279362,287291,10,1,287291,full
macbook,2026-08-08,nova,OSS,remote,6098,246415,1014149,32429919,33696581,184,5,33696581,full
macbook,2026-08-08,reliable,OSS,remote,72,31248,279591,2157386,2468297,37,2,2468297,full
macbook,2026-08-08,reliable.cs,OSS,remote,60,115666,132953,7973055,8221734,30,1,8221734,full
macbook,2026-08-08,schema,OSS,remote,514,301661,967676,48399770,49669621,257,2,49669621,full
macbook,2026-08-08,serialize,OSS,remote,73,22044,76241,5519751,5618109,37,2,5618109,full
macbook,2026-08-08,serialize.cs,OSS,remote,37,11808,84798,1164360,1261003,19,2,1261003,full
macbook,2026-08-08,serialize.go,OSS,remote,123,50493,132702,10551504,10734822,62,2,10734822,full
